Mp;Locatie;Code watertype;Naam watertype;Krw_Code;Krw_Naam;X-coor;Y-coor;Datum;Tijd;Code methode;Naam methode;Eenheid methode;Taxonnaam;Waarde
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Tabanidae;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Tanypus kraatzi;6
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;27/08/2003;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Unionicola crassipes;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Alboglossiphonia heteroclita;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Anisus vortex;2
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Argulus foliaceus;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Arrenurus sinuator;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Bithynia tentaculata;4
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Coenagrionidae;8
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Cricotopus sylvestris agg.;5
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Endochironomus albipennis;3
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Erpobdella octoculata;1
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Gammaridae;20
HHNK-535002;Voor krooshek gemaal Hogedijk;SLO;Sloot;M08;Gebufferde laagveensloten;132566;500348;17/07/2007;     ;MFAU1;Fauna - alle habitats - standaardnet;aantal/5m;Glyptotendipes;1
